Frame1,|['209,60,585,811', '0,284,242,790', '71,116,373,721', '714,413,785,555', '133,526,352,1224', '0,284,242,1074', '714,413,1499,968', '209,60,794,871', '71,116,444,837', '133,526,485,1750', '714,413,2213,1381', '0,381,108,1361', '0,284,242,1358', '71,116,515,953', '209,60,1003,931', '133,526,618,2276', '714,413,2927,1794', '0,381,108,1742', '0,284,242,1642', '71,116,586,1069', '209,60,1212,991', '133,526,751,2802', '714,413,3641,2207', '0,381,108,2123', '0,284,242,1926', '71,116,657,1185', '209,60,1421,1051', '133,526,884,3328', '714,413,4355,2620', '0,381,108,2504', '0,284,242,2210', '71,116,728,1301', '209,60,1630,1111', '133,526,1017,3854', '714,413,5069,3033', '0,381,108,2885', '0,284,242,2494', '71,116,799,1417', '209,60,1839,1171']|
Frame2,|['273,165,693,976', '89,26,519,885', '503,31,818,661', '565,824,1205,1798', '291,574,649,1282', '393,526,859,1198', '165,324,585,1158', '273,165,966,1141', '89,26,608,911', '503,31,1321,692', '565,824,1770,2622', '291,574,940,1856', '393,526,1252,1724', '165,324,750,1482', '273,165,1239,1306', '64,321,275,1130', '89,26,697,937', '503,31,1824,723', '565,824,2335,3446', '291,574,1231,2430', '273,165,1512,1471', '64,321,339,1451', '89,26,786,963', '503,31,2327,754', '565,824,2900,4270', '165,324,1080,2130', '273,165,1785,1636', '0,67,275,954', '503,31,2830,785', '565,824,3465,5094', '165,324,1245,2454', '273,165,2058,1801', '0,67,275,1021', '503,31,3333,816', '565,824,4030,5918', '165,324,1410,2778', '273,165,2331,1966', '0,67,275,1088', '503,31,3836,847', '565,824,4595,6742', '165,324,1575,3102', '273,165,2604,2131', '0,67,275,1155', '503,31,4339,878', '565,824,5160,7566', '165,324,1740,3426', '273,165,2877,2296', '0,67,275,1222', '503,31,4842,909', '565,824,5725,8390', '64,321,723,3377', '273,165,3150,2461', '0,67,275,1289', '503,31,5345,940', '565,824,6290,9214', '64,321,787,3698', '153,149,1793,1860', '0,67,275,1356', '503,31,5848,971', '565,824,6855,10038', '64,321,851,4019', '153,149,1946,2009', '0,67,275,1423', '503,31,6351,1002']|
Frame3,|['324,0,731,807', '176,60,534,775', '423,336,1039,1059', '176,60,710,835', '324,0,1055,807', '423,336,1462,1395', '176,60,886,895', '324,0,1379,807']|
Frame4,|['652,742,740,918', '731,667,818,846', '293,122,644,823', '89,108,390,711', '652,742,1392,1660', '210,337,575,984', '293,122,937,945', '89,108,479,819', '652,742,2044,2402', '210,337,785,1321', '293,122,1230,1067', '89,108,568,927', '652,742,2696,3144', '210,337,995,1658', '293,122,1523,1189', '89,108,657,1035', '652,742,3348,3886', '210,337,1205,1995', '293,122,1816,1311']|
Frame5,|['416,628,598,976', '118,0,554,845', '489,52,807,688', '2,83,286,651', '416,628,1014,1604', '374,458,815,1050', '118,0,672,845', '489,52,1296,740', '2,83,288,734', '416,628,1430,2232', '118,0,790,845', '2,83,290,817', '489,52,1785,792', '439,683,1834,2888', '2,83,292,900', '380,150,1643,846', '118,0,908,845', '489,52,2274,844', '439,683,2273,3571', '380,150,2023,996', '2,83,294,983', '489,52,2763,896', '118,0,1026,845', '439,683,2712,4254', '380,150,2403,1146', '2,83,296,1066', '489,52,3252,948', '118,0,1144,845', '439,683,3151,4937', '380,150,2783,1296', '2,83,298,1149', '489,52,3741,1000', '118,0,1262,845', '439,683,3590,5620', '380,150,3163,1446', '2,83,300,1232', '489,52,4230,1052', '439,683,4029,6303', '380,150,3543,1596', '2,83,302,1315']|
Frame6,|['471,259,818,976', '188,807,269,968', '86,772,173,946', '0,665,72,819', '236,61,609,806', '113,530,189,681', '0,439,87,638', '34,336,105,478', '114,175,258,462', '0,155,103,389', '188,807,457,1775', '86,772,259,1718', '626,729,1352,1659', '0,665,72,1484', '471,259,1289,1235', '113,530,302,1211', '0,439,87,1077', '236,61,845,867', '34,336,139,814', '114,175,372,637', '0,155,103,544', '188,807,645,2582', '86,772,345,2490', '626,729,1978,2388', '0,665,72,2149', '113,530,415,1741', '471,259,1760,1494', '34,336,173,1150', '236,61,1081,928', '0,155,103,699', '188,807,833,3389', '626,729,2604,3117', '0,665,72,2814', '471,259,2231,1753', '34,336,207,1486', '236,61,1317,989', '0,155,103,854', '188,807,1021,4196', '626,729,3230,3846', '0,665,72,3479', '34,336,241,1822', '114,175,714,1162', '236,61,1553,1050', '0,155,103,1009', '188,807,1209,5003', '626,729,3856,4575', '0,665,72,4144', '34,336,275,2158', '114,175,828,1337', '0,155,103,1164', '236,61,1789,1111', '188,807,1397,5810', '626,729,4482,5304', '0,665,72,4809', '34,336,309,2494', '114,175,942,1512', '0,155,103,1319', '236,61,2025,1172', '188,807,1585,6617', '626,729,5108,6033', '0,665,72,5474', '34,336,343,2830', '114,175,1056,1687', '0,155,103,1474', '236,61,2261,1233', '188,807,1773,7424', '626,729,5734,6762', '0,665,72,6139', '34,336,377,3166', '114,175,1170,1862', '0,155,103,1629', '236,61,2497,1294', '188,807,1961,8231', '626,729,6360,7491', '0,665,72,6804', '34,336,411,3502', '114,175,1284,2037', '0,155,103,1784', '236,61,2733,1355', '188,807,2149,9038', '626,729,6986,8220', '0,665,72,7469', '34,336,445,3838', '0,155,103,1939', '236,61,2969,1416']|
Frame7,|['0,185,403,976', '348,476,437,653', '417,501,489,645', '486,382,567,543', '574,347,650,499', '556,229,685,487', '654,112,818,479', '481,318,562,479', '141,118,211,257', '690,0,811,228', '0,185,403,1161', '417,501,906,1146', '486,382,1053,925', '556,229,1241,716', '256,228,584,599', '654,112,1472,591', '690,0,1501,228', '417,501,1323,1647', '0,185,403,1346', '574,347,1798,1193', '145,280,554,1078', '706,238,2226,929', '256,228,840,827', '141,118,493,493', '690,0,2191,228', '417,501,1740,2148', '574,347,2372,1540', '0,185,403,1531', '145,280,699,1358', '256,228,1096,1055', '654,112,2780,815', '690,0,2881,228', '417,501,2157,2649', '574,347,2946,1887', '0,297,145,1784', '0,185,403,1716', '145,280,844,1638', '256,228,1352,1283', '654,112,3434,927', '690,0,3571,228', '417,501,2574,3150', '574,347,3520,2234', '0,297,145,2081', '145,280,989,1918', '0,185,403,1901', '654,112,4088,1039', '690,0,4261,228', '417,501,2991,3651', '574,347,4094,2581', '0,297,145,2378', '145,280,1134,2198', '0,185,403,2086', '690,0,4951,228', '417,501,3408,4152', '0,297,145,2675', '0,185,403,2271', '706,238,5756,2119', '141,118,1198,1083', '690,0,5641,228', '417,501,3825,4653', '0,297,145,2972', '0,185,403,2456', '706,238,6462,2357', '141,118,1339,1201', '690,0,6331,228', '417,501,4242,5154', '0,297,145,3269', '0,185,403,2641', '706,238,7168,2595', '141,118,1480,1319', '690,0,7021,228', '417,501,4659,5655', '0,297,145,3566', '706,238,7874,2833', '0,185,403,2826', '141,118,1621,1437', '690,0,7711,228', '417,501,5076,6156', '0,297,145,3863', '706,238,8580,3071', '0,185,403,3011', '141,118,1762,1555', '690,0,8401,228', '417,501,5493,6657', '0,297,145,4160', '706,238,9286,3309', '0,185,403,3196', '141,118,1903,1673', '690,0,9091,228', '417,501,5910,7158', '0,297,145,4457', '706,238,9992,3547', '0,185,403,3381', '690,0,9781,228']|
Frame8,|['690,803,772,967', '589,571,748,888', '380,423,493,649', '0,390,101,614', '218,372,335,606', '423,161,546,407', '334,92,490,404', '510,214,588,369', '0,111,122,366', '145,205,223,361', '34,53,104,193', '95,19,171,171', '690,803,1462,1770', '589,571,1337,1459', '380,423,873,1072', '0,390,101,1004', '218,372,553,978', '510,214,1098,583', '145,205,368,566', '50,212,171,565', '380,160,872,544', '0,200,62,537', '0,111,122,477', '34,53,138,246', '95,19,266,190', '690,803,2152,2573', '380,423,1253,1495', '0,390,101,1394', '510,214,1608,797', '50,212,221,777', '145,205,513,771', '0,200,62,737', '334,92,1158,588', '0,111,122,588', '34,53,172,299', '95,19,361,209', '690,803,2842,3376', '380,423,1633,1918', '0,390,101,1784', '510,214,2118,1011', '50,212,271,989', '145,205,658,976', '0,111,122,699', '34,53,206,352', '95,19,456,228', '690,803,3532,4179', '380,423,2013,2341', '0,390,101,2174', '510,214,2628,1225', '50,212,321,1201', '145,205,803,1181', '0,111,122,810', '34,53,240,405', '95,19,551,247', '690,803,4222,4982', '0,390,101,2564', '218,372,1425,2466', '510,214,3138,1439', '50,212,371,1413', '0,111,122,921', '34,53,274,458', '95,19,646,266', '690,803,4912,5785', '0,390,101,2954', '218,372,1643,2838', '510,214,3648,1653', '50,212,421,1625', '0,111,122,1032', '34,53,308,511', '95,19,741,285', '690,803,5602,6588', '0,390,101,3344', '218,372,1861,3210', '510,214,4158,1867', '50,212,471,1837', '0,111,122,1143', '95,19,836,304', '690,803,6292,7391', '0,390,101,3734', '218,372,2079,3582', '50,212,521,2049', '423,161,3930,1695', '0,111,122,1254', '95,19,931,323', '690,803,6982,8194', '0,390,101,4124', '50,212,571,2261', '145,205,1528,2206', '423,161,4353,1856', '0,111,122,1365', '95,19,1026,342', '690,803,7672,8997', '0,390,101,4514', '50,212,621,2473', '145,205,1673,2411', '423,161,4776,2017', '95,19,1121,361', '690,803,8362,9800', '0,390,101,4904', '50,212,671,2685', '145,205,1818,2616', '423,161,5199,2178', '95,19,1216,380', '690,803,9052,10603', '0,390,101,5294', '50,212,721,2897', '145,205,1963,2821', '334,92,4498,1508', '95,19,1311,399', '690,803,9742,11406', '0,390,101,5684', '50,212,771,3109', '145,205,2108,3026', '334,92,4832,1600', '690,803,10432,12209', '0,390,101,6074', '50,212,821,3321', '145,205,2253,3231', '334,92,5166,1692']|
Frame9,|['240,140,592,844']|
Frame10,|['212,667,310,863', '337,543,402,673', '212,667,522,1530', '337,543,739,1216']|
Frame11,|['195,843,263,976', '412,710,485,855', '129,541,196,674', '295,419,370,569', '216,364,283,498', '513,290,590,444', '198,166,298,367', '307,129,372,259', '195,843,458,1819', '412,710,897,1565', '129,541,325,1215', '295,419,665,988', '216,364,499,862', '513,290,1103,734', '198,166,496,533', '307,129,679,388', '195,843,653,2662', '412,710,1309,2275', '129,541,454,1756', '295,419,960,1407', '513,290,1616,1024', '198,166,694,699', '307,129,986,517', '195,843,848,3505', '412,710,1721,2985', '216,364,931,1590', '513,290,2129,1314', '307,129,1293,646', '195,843,1043,4348', '412,710,2133,3695', '216,364,1147,1954', '513,290,2642,1604', '307,129,1600,775', '195,843,1238,5191', '412,710,2545,4405', '513,290,3155,1894', '198,166,1288,1197', '195,843,1433,6034', '412,710,2957,5115', '513,290,3668,2184', '195,843,1628,6877', '412,710,3369,5825', '513,290,4181,2474']|
Frame12,|['313,449,379,582', '372,320,484,544', '313,449,692,1031', '372,320,856,864']|
Frame13,|['223,84,619,875']|
Frame14,|['236,227,522,799', '236,227,758,1026']|
Frame15,|['308,385,374,517']|
Frame16,|['265,242,532,776', '115,140,189,288', '265,242,797,1018', '115,140,304,428']|
Frame17,|['252,587,319,721', '489,414,581,598', '252,587,571,1308', '489,414,1070,1012']|
Frame18,|['364,596,433,734', '311,280,378,413', '281,0,421,268', '364,596,797,1330', '311,280,689,693', '281,0,702,268', '364,596,1161,1926', '311,280,1000,973', '281,0,983,268']|
Frame19,|['255,640,428,976', '450,787,515,917', '518,638,591,784', '346,221,415,359', '450,787,965,1704', '255,640,683,1616', '518,638,1109,1422', '346,221,761,580', '450,787,1415,2491', '255,640,938,2256', '346,221,1107,801', '450,787,1865,3278', '346,221,1453,1022']|
Frame20,[]
Frame21,|['380,500,474,687', '289,101,362,247', '380,500,854,1187', '289,101,651,348']|
Frame22,|['297,188,617,829']|
Frame23,|['485,242,628,526', '485,242,1113,768']|
Frame24,|['238,276,599,976', '238,276,837,1252', '417,418,1397,1546']|
Frame25,|['422,336,501,494', '337,289,419,453', '422,336,923,830']|
Frame26,|['290,281,378,455', '444,319,510,451', '444,319,954,770', '290,281,668,736']|
Frame27,|['102,555,315,976', '288,393,375,567', '456,389,539,555', '102,555,417,1531', '288,393,663,960', '456,389,995,944', '102,555,519,2086', '288,393,951,1353', '456,389,1451,1333']|
Frame28,|['196,221,572,973', '684,556,796,780', '565,196,818,768', '644,621,1355,1376', '196,221,768,1194', '565,196,1383,964', '644,621,1999,1997', '196,221,964,1415', '565,196,1948,1160', '644,621,2643,2618', '196,221,1160,1636', '565,196,2513,1356']|
Frame29,[]
Frame30,|['275,245,357,409']|
Frame31,|['724,719,818,921', '656,533,728,676', '720,119,803,284', '724,719,1542,1640', '720,119,1523,403', '724,719,2266,2359', '720,119,2243,522']|
Frame32,|['229,149,604,898', '229,149,833,1047']|
Frame33,|['469,467,585,700']|
Frame34,[]
Frame35,[]
Frame36,|['302,623,473,965', '580,517,684,725', '180,452,309,709', '302,623,775,1588', '580,517,1264,1242', '180,452,489,1161', '302,623,1077,2211', '580,517,1844,1759', '180,452,669,1613', '302,623,1379,2834', '580,517,2424,2276']|
Frame37,|['225,113,607,877']|
Frame38,|['48,269,298,770', '415,339,621,751', '577,509,692,739', '246,435,390,723', '622,354,721,553', '577,509,1269,1248', '246,435,636,1158', '415,339,1036,1090', '48,269,346,1039', '622,354,1343,907', '577,509,1846,1757', '246,435,882,1593', '48,269,394,1308', '577,509,2423,2266', '246,435,1128,2028', '48,269,442,1577', '577,509,3000,2775', '48,269,490,1846']|
Frame39,|['242,213,586,901', '439,231,765,884', '439,231,1204,1115']|
Frame40,|['220,138,591,880', '589,304,677,479', '220,138,811,1018', '589,304,1266,783']|
